,pclass,sex,fare,age,survived
350,2.0,0,39.0,15.0,1.0
351,2.0,1,39.0,60.0,0.0
352,2.0,0,39.0,40.0,1.0
353,2.0,0,26.0,20.0,1.0
354,2.0,1,26.0,25.0,0.0
355,2.0,0,13.0,36.0,1.0
356,2.0,1,13.0,25.0,0.0
357,2.0,1,13.0,42.0,0.0
358,2.0,0,13.0,42.0,1.0
359,2.0,1,29.0,0.8333,1.0
360,2.0,1,29.0,26.0,1.0
361,2.0,0,29.0,22.0,1.0
362,2.0,0,21.0,35.0,1.0
364,2.0,1,13.0,19.0,0.0
365,2.0,0,26.0,44.0,0.0
366,2.0,1,26.0,54.0,0.0
367,2.0,1,13.5,52.0,0.0
368,2.0,1,26.0,37.0,0.0
369,2.0,0,26.0,29.0,0.0
370,2.0,0,30.0,25.0,1.0
371,2.0,0,30.0,45.0,1.0
372,2.0,1,26.0,29.0,0.0
373,2.0,0,26.0,28.0,1.0
374,2.0,1,10.5,29.0,0.0
375,2.0,1,13.0,28.0,0.0
376,2.0,1,10.5,24.0,1.0
377,2.0,0,26.25,8.0,1.0
378,2.0,1,26.25,31.0,0.0
379,2.0,0,26.25,31.0,1.0
380,2.0,0,10.5,22.0,1.0
381,2.0,0,13.0,30.0,0.0
383,2.0,1,11.5,21.0,0.0
385,2.0,1,36.75,8.0,1.0
386,2.0,1,73.5,18.0,0.0
387,2.0,0,36.75,48.0,1.0
388,2.0,0,13.0,28.0,1.0
389,2.0,1,13.0,32.0,0.0
390,2.0,1,73.5,17.0,0.0
391,2.0,1,27.7208,29.0,0.0
392,2.0,0,27.7208,24.0,1.0
393,2.0,1,31.5,25.0,0.0
394,2.0,1,73.5,18.0,0.0
395,2.0,0,23.0,18.0,1.0
396,2.0,0,23.0,34.0,1.0
397,2.0,1,26.0,54.0,0.0
398,2.0,1,32.5,8.0,1.0
399,2.0,1,32.5,42.0,0.0
400,2.0,0,32.5,34.0,1.0
401,2.0,0,13.8583,27.0,1.0
402,2.0,0,13.8583,30.0,1.0
403,2.0,1,13.0,23.0,0.0
404,2.0,1,13.0,21.0,0.0
405,2.0,1,13.0,18.0,0.0
406,2.0,1,26.0,40.0,0.0
407,2.0,0,26.0,29.0,1.0
408,2.0,1,10.5,18.0,0.0
409,2.0,1,13.0,36.0,0.0
411,2.0,0,13.0,38.0,0.0
412,2.0,1,26.0,35.0,0.0
413,2.0,1,21.0,38.0,0.0
414,2.0,1,21.0,34.0,0.0
415,2.0,0,13.0,34.0,1.0
416,2.0,1,26.0,16.0,0.0
417,2.0,1,10.5,26.0,0.0
418,2.0,1,10.5,47.0,0.0
419,2.0,1,11.5,21.0,0.0
420,2.0,1,11.5,21.0,0.0
421,2.0,1,13.5,24.0,0.0
422,2.0,1,13.0,24.0,0.0
423,2.0,1,13.0,34.0,0.0
424,2.0,1,13.0,30.0,0.0
425,2.0,1,13.0,52.0,0.0
426,2.0,1,13.0,30.0,0.0
427,2.0,1,14.5,0.6667,1.0
428,2.0,0,14.5,24.0,1.0
429,2.0,1,13.0,44.0,0.0
430,2.0,0,33.0,6.0,1.0
431,2.0,1,33.0,28.0,0.0
432,2.0,1,10.5,62.0,1.0
433,2.0,1,10.5,30.0,0.0
434,2.0,0,26.25,7.0,1.0
435,2.0,1,26.25,43.0,0.0
436,2.0,0,26.25,45.0,1.0
437,2.0,0,65.0,24.0,1.0
438,2.0,0,65.0,24.0,1.0
439,2.0,1,65.0,49.0,0.0
440,2.0,0,65.0,48.0,1.0
441,2.0,0,16.0,55.0,1.0
442,2.0,1,73.5,24.0,0.0
443,2.0,1,73.5,32.0,0.0
444,2.0,1,73.5,21.0,0.0
445,2.0,0,13.0,18.0,0.0
446,2.0,0,23.0,20.0,1.0
447,2.0,1,11.5,23.0,0.0
448,2.0,1,13.0,36.0,0.0
449,2.0,0,23.0,54.0,1.0
450,2.0,1,13.0,50.0,0.0
451,2.0,1,26.0,44.0,0.0
452,2.0,0,26.0,29.0,1.0
453,2.0,1,73.5,21.0,0.0
454,2.0,1,13.0,42.0,1.0
455,2.0,1,26.0,63.0,0.0
456,2.0,0,26.0,60.0,0.0
457,2.0,1,12.275,33.0,0.0
458,2.0,0,10.5,17.0,1.0
459,2.0,1,27.0,42.0,0.0
460,2.0,0,27.0,24.0,1.0
461,2.0,1,15.0,47.0,0.0
462,2.0,1,31.5,24.0,0.0
463,2.0,1,31.5,22.0,0.0
464,2.0,1,10.5,32.0,0.0
465,2.0,0,13.7917,23.0,1.0
466,2.0,1,26.0,34.0,0.0
467,2.0,0,26.0,24.0,1.0
468,2.0,0,21.0,22.0,0.0
470,2.0,1,12.35,35.0,0.0
471,2.0,0,13.5,45.0,1.0
472,2.0,1,12.35,57.0,0.0
474,2.0,1,10.5,31.0,0.0
475,2.0,0,26.0,26.0,0.0
476,2.0,1,26.0,30.0,0.0
478,2.0,0,41.5792,1.0,1.0
479,2.0,0,41.5792,3.0,1.0
480,2.0,1,41.5792,25.0,0.0
481,2.0,0,41.5792,22.0,1.0
482,2.0,0,12.0,17.0,1.0
484,2.0,0,10.5,34.0,1.0
485,2.0,1,12.875,36.0,0.0
486,2.0,1,10.5,24.0,0.0
487,2.0,1,12.35,61.0,0.0
488,2.0,1,26.0,50.0,0.0
489,2.0,0,26.0,42.0,1.0
490,2.0,0,10.5,57.0,0.0
492,2.0,1,37.0042,1.0,1.0
493,2.0,1,37.0042,31.0,0.0
494,2.0,0,37.0042,24.0,1.0
496,2.0,1,13.0,30.0,0.0
497,2.0,1,16.0,40.0,0.0
498,2.0,1,13.5,32.0,0.0
499,2.0,1,13.0,30.0,0.0
500,2.0,1,26.0,46.0,0.0
501,2.0,0,19.5,13.0,1.0
502,2.0,0,19.5,41.0,1.0
503,2.0,1,10.5,19.0,1.0
504,2.0,1,13.0,39.0,0.0
505,2.0,1,13.0,48.0,0.0
506,2.0,1,10.5,70.0,0.0
507,2.0,1,13.0,27.0,0.0
508,2.0,1,14.0,54.0,0.0
509,2.0,1,26.0,39.0,0.0
510,2.0,1,10.5,16.0,0.0
511,2.0,1,9.6875,62.0,0.0
512,2.0,1,30.0708,32.5,0.0
513,2.0,0,30.0708,14.0,1.0
514,2.0,1,26.0,2.0,1.0
515,2.0,1,26.0,3.0,1.0
516,2.0,1,26.0,36.5,0.0
517,2.0,1,13.0,26.0,0.0
518,2.0,1,36.75,19.0,0.0
519,2.0,1,13.5,28.0,0.0
520,2.0,1,13.8625,20.0,1.0
521,2.0,0,10.5,29.0,1.0
522,2.0,1,13.0,39.0,0.0
523,2.0,1,10.5,22.0,1.0
525,2.0,1,10.5,23.0,0.0
526,2.0,1,13.8583,29.0,1.0
527,2.0,1,10.5,28.0,0.0
529,2.0,0,26.0,50.0,1.0
530,2.0,1,10.5,19.0,0.0
532,2.0,1,13.0,41.0,0.0
533,2.0,0,21.0,21.0,1.0
534,2.0,0,26.0,19.0,1.0
535,2.0,1,21.0,43.0,0.0
536,2.0,0,13.0,32.0,1.0
537,2.0,1,13.0,34.0,0.0
538,2.0,1,12.7375,30.0,1.0
539,2.0,1,15.0333,27.0,0.0
540,2.0,0,26.0,2.0,1.0
541,2.0,0,26.0,8.0,1.0
542,2.0,0,26.0,33.0,1.0
543,2.0,1,10.5,36.0,0.0
544,2.0,1,21.0,34.0,0.0
545,2.0,0,21.0,30.0,1.0
546,2.0,0,13.0,28.0,1.0
547,2.0,1,15.0458,23.0,0.0
548,2.0,1,18.75,0.8333,1.0
549,2.0,1,18.75,3.0,1.0
550,2.0,0,18.75,24.0,1.0
551,2.0,0,10.5,50.0,1.0
552,2.0,1,10.5,19.0,0.0
553,2.0,0,10.5,21.0,1.0
554,2.0,1,13.0,26.0,0.0
555,2.0,1,13.0,25.0,0.0
556,2.0,1,26.0,27.0,0.0
557,2.0,0,26.0,25.0,1.0
558,2.0,0,13.0,18.0,1.0
559,2.0,0,36.75,20.0,1.0
560,2.0,0,13.0,30.0,1.0
561,2.0,1,13.5,59.0,0.0
562,2.0,0,12.35,30.0,1.0
563,2.0,1,10.5,35.0,0.0
564,2.0,0,13.0,40.0,1.0
565,2.0,1,13.0,25.0,0.0
566,2.0,1,15.0458,41.0,0.0
567,2.0,1,10.5,25.0,0.0
568,2.0,1,13.0,18.5,0.0
569,2.0,1,65.0,14.0,0.0
570,2.0,0,10.5,50.0,1.0
571,2.0,1,13.0,23.0,0.0
572,2.0,0,12.65,28.0,1.0
573,2.0,0,10.5,27.0,1.0
574,2.0,1,21.0,29.0,0.0
575,2.0,0,21.0,27.0,0.0
576,2.0,1,13.0,40.0,0.0
577,2.0,0,21.0,31.0,1.0
578,2.0,1,21.0,30.0,0.0
579,2.0,1,10.5,23.0,0.0
580,2.0,0,21.0,31.0,1.0
582,2.0,0,15.75,12.0,1.0
583,2.0,0,15.75,40.0,1.0
584,2.0,0,13.0,32.5,1.0
585,2.0,1,26.0,27.0,0.0
586,2.0,0,26.0,29.0,1.0
587,2.0,1,23.0,2.0,1.0
588,2.0,0,23.0,4.0,1.0
589,2.0,0,23.0,29.0,1.0
590,2.0,0,27.75,0.9167,1.0
591,2.0,0,27.75,5.0,1.0
592,2.0,1,27.75,36.0,0.0
593,2.0,0,27.75,33.0,1.0
594,2.0,1,10.5,66.0,0.0
596,2.0,1,13.0,31.0,1.0
598,2.0,0,13.5,26.0,1.0
599,2.0,0,13.0,24.0,0.0
600,3.0,1,7.55,42.0,0.0
601,3.0,1,20.25,13.0,0.0
602,3.0,1,20.25,16.0,0.0
603,3.0,0,20.25,35.0,1.0
604,3.0,0,7.65,16.0,1.0
605,3.0,1,7.65,25.0,1.0
606,3.0,1,7.925,20.0,1.0
607,3.0,0,7.2292,18.0,1.0
608,3.0,1,7.25,30.0,0.0
609,3.0,1,8.05,26.0,0.0
610,3.0,0,9.475,40.0,0.0
611,3.0,1,9.35,0.8333,1.0
612,3.0,0,9.35,18.0,1.0
613,3.0,1,18.7875,26.0,1.0
614,3.0,1,7.8875,26.0,0.0
615,3.0,1,7.925,20.0,0.0
616,3.0,1,7.05,24.0,0.0
617,3.0,1,7.05,25.0,0.0
618,3.0,1,8.05,35.0,0.0
619,3.0,1,8.3,18.0,0.0
620,3.0,1,22.525,32.0,0.0
621,3.0,0,7.8542,19.0,1.0
622,3.0,1,31.275,4.0,0.0
623,3.0,0,31.275,6.0,0.0
624,3.0,0,31.275,2.0,0.0
625,3.0,0,7.925,17.0,1.0
626,3.0,0,7.775,38.0,0.0
627,3.0,0,31.275,9.0,0.0
628,3.0,0,31.275,11.0,0.0
629,3.0,1,31.275,39.0,0.0
630,3.0,1,7.7958,27.0,1.0
631,3.0,1,7.775,26.0,0.0
632,3.0,0,31.275,39.0,0.0
633,3.0,1,7.8542,20.0,0.0
634,3.0,1,7.8958,26.0,0.0
635,3.0,1,17.8,25.0,0.0
636,3.0,0,17.8,18.0,0.0
637,3.0,1,7.775,24.0,0.0
638,3.0,1,7.05,35.0,0.0
639,3.0,1,31.3875,5.0,0.0
640,3.0,1,31.3875,9.0,0.0
641,3.0,1,31.3875,3.0,1.0
642,3.0,1,31.3875,13.0,0.0
643,3.0,0,31.3875,5.0,1.0
644,3.0,1,31.3875,40.0,0.0
645,3.0,1,7.7958,23.0,1.0
646,3.0,0,31.3875,38.0,1.0
647,3.0,0,7.225,45.0,1.0
648,3.0,1,7.225,21.0,0.0
649,3.0,1,7.05,23.0,0.0
650,3.0,0,14.4583,17.0,0.0
651,3.0,1,7.225,30.0,0.0
652,3.0,1,7.8542,23.0,0.0
653,3.0,0,7.2292,13.0,1.0
654,3.0,1,7.225,20.0,0.0
655,3.0,1,15.85,32.0,0.0
656,3.0,0,15.85,33.0,1.0
657,3.0,0,19.2583,0.75,1.0
658,3.0,0,19.2583,0.75,1.0
659,3.0,0,19.2583,5.0,1.0
660,3.0,0,19.2583,24.0,1.0
661,3.0,0,8.05,18.0,1.0
662,3.0,1,7.225,40.0,0.0
663,3.0,1,7.8958,26.0,0.0
664,3.0,1,7.2292,20.0,1.0
665,3.0,0,14.4542,18.0,0.0
666,3.0,0,14.4542,45.0,0.0
667,3.0,0,7.8792,27.0,0.0
668,3.0,1,8.05,22.0,0.0
669,3.0,1,8.05,19.0,0.0
670,3.0,1,7.775,26.0,0.0
671,3.0,1,9.35,22.0,0.0
673,3.0,1,4.0125,20.0,0.0
674,3.0,1,56.4958,32.0,1.0
675,3.0,1,7.775,21.0,0.0
676,3.0,1,7.75,18.0,0.0
677,3.0,1,7.8958,26.0,0.0
678,3.0,1,15.2458,6.0,0.0
679,3.0,0,15.2458,9.0,0.0
683,3.0,1,15.5,40.0,0.0
684,3.0,0,15.5,32.0,0.0
685,3.0,1,16.1,21.0,0.0
686,3.0,0,7.725,22.0,1.0
687,3.0,0,7.8542,20.0,0.0
688,3.0,1,7.0458,29.0,0.0
689,3.0,1,7.25,22.0,0.0
690,3.0,1,7.7958,22.0,0.0
691,3.0,1,8.05,35.0,0.0
692,3.0,0,7.2833,18.5,0.0
693,3.0,1,7.8208,21.0,1.0
694,3.0,1,6.75,19.0,0.0
695,3.0,0,7.8792,18.0,0.0
696,3.0,0,8.6625,21.0,0.0
697,3.0,0,8.6625,30.0,0.0
698,3.0,1,8.6625,18.0,0.0
699,3.0,1,8.6625,38.0,0.0
700,3.0,1,8.6625,17.0,0.0
701,3.0,1,8.6625,17.0,0.0
702,3.0,0,7.75,21.0,0.0
703,3.0,1,7.75,21.0,0.0
704,3.0,1,8.05,21.0,0.0
707,3.0,1,7.7958,28.0,0.0
708,3.0,1,7.8542,24.0,0.0
709,3.0,0,7.75,16.0,1.0
710,3.0,0,7.75,37.0,0.0
711,3.0,1,7.25,28.0,0.0
712,3.0,1,8.05,24.0,0.0
713,3.0,1,7.7333,21.0,0.0
714,3.0,1,56.4958,32.0,1.0
715,3.0,1,8.05,29.0,0.0
716,3.0,1,14.4542,26.0,0.0
717,3.0,1,14.4542,18.0,0.0
718,3.0,1,7.05,20.0,0.0
719,3.0,1,8.05,18.0,1.0
720,3.0,1,7.25,24.0,0.0
721,3.0,1,7.4958,36.0,0.0
722,3.0,1,7.4958,24.0,0.0
723,3.0,1,7.7333,31.0,0.0
724,3.0,1,7.75,31.0,0.0
725,3.0,0,7.75,22.0,1.0
726,3.0,0,7.6292,30.0,0.0
727,3.0,1,7.75,70.5,0.0
728,3.0,1,8.05,43.0,0.0
729,3.0,1,7.8958,35.0,0.0
730,3.0,1,7.8958,27.0,0.0
731,3.0,1,7.8958,19.0,0.0
732,3.0,1,8.05,30.0,0.0
733,3.0,1,15.9,9.0,1.0
734,3.0,1,15.9,3.0,1.0
735,3.0,0,15.9,36.0,1.0
736,3.0,1,7.25,59.0,0.0
737,3.0,1,8.1583,19.0,0.0
738,3.0,0,16.1,17.0,1.0
739,3.0,1,16.1,44.0,0.0
740,3.0,1,8.6625,17.0,0.0
741,3.0,1,7.225,22.5,0.0
742,3.0,1,8.05,45.0,1.0
743,3.0,0,10.5167,22.0,0.0
744,3.0,1,10.1708,19.0,0.0
745,3.0,0,6.95,30.0,1.0
746,3.0,1,7.75,29.0,1.0
747,3.0,1,14.4,0.3333,0.0
748,3.0,1,14.4,34.0,0.0
